SYEAR,AREA,RID,DID,VID,GSID,GS001,GS001a,GS002,GS003,GS003a,GS003Y,GS004,GS005,GS007E,GS007P,GS008TA,GS008TP,GS009a,GS009b,GS009c,GS009d,GS009e,GS009f,GS009z,GS010a,GS010b,GS010c,GS010d,GS010e,GS010z,GS010T0,GS010T15,GS010T30,GS010T31,GS011c,GS011d,GS011e,GS011f,GS011g,GS011i,GS011h,GS011j,GS011k,GS011L,GS011m,GS011n,GS011P,GS011a,GS011b,GS012a,GS012b,GS012c,GS012d,GS012e,GS012f,GS012g,GS012h,GS012j,GS012k,GS012L,GS012m,GS013,GS014,GS015,GS016,GS017,GS018,GS018a,GS018b,GS018c,GS018d,GS018e,GS018z,GS019a,GS019b,GS019c,GS019d,GS019e,GS019f,GS019g,GS019h,GS019i,GS019j,GS019k,GS019m,GS019n,GS019p,GS019q,GS019r,GS019s,GS019t,GS019u,GS019z,GS020a,GS020b,GS020c,GS020d,GS020e,GS020f,GS020z,GS021a,GS021b,GS021c,GS021d,GS021e,GS021f,GS021g,GS021h,GS021i,GS021j,GS021k,GS021m,GS021n,GS021p,GS021q,GS021r,GS021s,GS021t,GS021z
2016,2,2,154,4882,4796,3,,3,2,,1954,0,,293,158,18,17,,3,2,5,6,1,1,1,2,2,4,4,,6,,,,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,10,7,-1,1,0,,3,1,-1,-1,,-1,-1,-1,2,0,9,9,,2015,231454,108240,,,,,,,,,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,,-1,,,2016,,9020,,,,,,,,,,,-1,-1,,-1,,,,,,-1,,-1,
2016,2,2,154,4881,4797,3,,3,2,,1955,0,,189,96,11,10,,1,1,3,5,1,,,1,,4,,1,5,,,,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,,17,11,-1,3,0,,1,1,-1,-1,-1,-1,-1,-1,2,-1,7,6,1000,2015,270789,36000,,,,,,,,,-1,,,-1,,-1,-1,,,-1,-1,-1,,-1,-1,,2016,,21870,,,,,,,,,,,,-1,,,,,,,,,,-1,-1
2016,2,2,154,4885,4799,3,,2,2,,1988,0,,494,479,11,0,,,,,10,,,,,,5,5,,,3,,,-1,0,-1,-1,,-1,-1,-1,-1,-1,-1,-1,0,9,9,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,-1,9,9,8450,2015,50000,116560,,,,,,,,-1,,,,,,-1,-1,-1,,-1,,,,,-1,,2016,,10000,,,,250000,,,,,,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,,,-1
2016,2,2,154,4887,4800,1,,1,2,,1962,0,,154,154,6,6,,1,1,,3,,,,,2,1,2,,,2,,,-1,-1,-1,0,,-1,-1,-1,,-1,0,,0,7,7,0,,,,1,,-1,,-1,,-1,,2,-1,9,9,455,2015,51585,2280,,,,,-1,-1,,-1,,-1,-1,-1,,-1,-1,,,,,,-1,-1,,,2016,958090,17940,,,,,-1,-1,,,,-1,,-1,-1,-1,-1,,,,,,,-1,-1
2016,2,2,154,4886,4801,3,,3,2,,1976,0,,362,357,15,15,,,,,14,1,,,,,7,1,,7,,,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,11,10,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,9,9,,2015,,4300,,,,,,,,,,,-1,-1,,,,,,,,,,-1,-1,-1,2016,,4300,,,,,,,,,,,-1,-1,,,,,,,,,,-1,-1
2016,2,2,154,4888,4802,3,,3,2,,1957,0,,418,418,13,11,6,4,1,2,2,,,8,,1,1,1,,6,0,0,0,-1,-1,-1,-1,,-1,0,-1,0,0,0,0,0,12,10,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,9,9,,2015,,97000,,,,272500,,,,,-1,-1,-1,,,-1,,,,-1,-1,,,-1,,,2016,,8360,,,,150000,,,-1,,,-1,,,-1,-1,-1,-1,-1,-1,,,,,-1
2016,2,2,154,4890,4804,1,,1,2,,1997,0,,60,58,5,5,,1,2,1,1,,,,2,1,2,,,,,,,-1,-1,-1,0,,-1,-1,0,,-1,0,,0,2,2,-1,4,,,1,,-1,,-1,,-1,,1,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,2,154,4891,4805,2,,1,2,,1963,0,,258,252,14,14,,,3,4,7,,,5,1,2,4,2,,3,7,4,,-1,-1,-1,-1,,-1,-1,0,0,-1,0,,0,11,10,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,9,8,,2015,,2000,,,247571,,,,,,,-1,,,,-1,,-1,-1,-1,,,,-1,-1,,2016,,2200,,,48948,,,,,-1,,,-1,,,-1,,-1,,,-1,,,-1,
2016,2,2,154,4892,4806,1,,1,1,,,0,,203,191,6,6,,,3,,2,,,,2,1,,2,,,3,,,-1,-1,-1,0,,-1,-1,-1,,-1,-1,,0,11,6,0,,,,1,,-1,,,,-1,,1,-1,,,20000,2015,83530,25000,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,2016,162314,19820,,,,,,,,,,,,,,-1,-1,-1,-1,,,,,,
2016,2,2,154,4893,4807,1,,2,2,,,0,,234,202,6,6,,1,1,,4,,,,2,,2,2,,,6,,,-1,-1,-1,0,,0,-1,0,,-1,0,,0,4,3,0,,,,2,,-1,,0,,0,,2,0,,,,2015,,56160,,,,,,,,,,,-1,-1,,-1,-1,-1,-1,-1,-1,,,,-1,,2016,,4500,,,,,,,,,,,,,,-1,,,,,-1,-1,,-1,-1
2016,2,2,154,4894,4808,3,,2,2,,,0,,437,394,14,13,,2,2,6,4,,,,2,1,1,1,4,5,3,1,,-1,-1,-1,-1,,-1,-1,0,0,-1,0,0,0,8,7,-1,3,0,,2,1,-1,-1,-1,-1,-1,-1,1,-1,7,7,1495,2015,50000,104880,,,,,,,,,,,,-1,-1,-1,-1,-1,,-1,-1,,-1,,-1,,2016,,8740,,,,200000,,,,,,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,,
2016,2,2,154,4895,4809,1,,3,2,,1959,0,,154,150,6,6,,1,3,,2,,,,1,3,2,,,,5,1,,-1,-1,-1,0,,0,-1,0,,-1,0,,0,6,4,0,,,,1,,-1,,-1,,-1,,1,0,9,9,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,2,154,4896,4810,1,,1,2,,1987,-1,,76,74,2,2,,,,,1,,,,,,1,,,,3,,,-1,-1,-1,0,,-1,-1,0,,-1,0,,0,2,2,-1,Nursery,,,1,,-1,,-1,,-1,,1,-1,9,9,20000,2015,142546,,,,,,,,,,,-1,,-1,-1,-1,,,,-1,-1,,,,-1,,2016,62500,,,,,,,,,,,-1,-1,-1,,-1,,,,-1,-1,,,,
2016,2,2,154,4897,4811,2,,3,2,,1985,0,,337,307,9,9,,2,2,,5,,,,1,1,,3,,4,0,0,0,-1,-1,-1,-1,,-1,-1,0,0,-1,0,,0,10,9,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,7,7,,2015,,54000,,,,,,,,,,,,-1,-1,-1,-1,,-1,-1,-1,,,,,,2016,,4700,,,,257000,,,,,,-1,-1,,,-1,-1,-1,-1,-1,-1,,,-1,
2016,2,2,154,4898,4812,3,,2,2,,,0,,424,381,18,18,,1,1,,15,,,,1,1,6,2,,7,0,0,0,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,0,-1,13,8,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,7,7,,2015,,101285,,,,70000,,,,,,,-1,-1,,-1,-1,-1,-1,-1,-1,,,,-1,,2016,,8480,,,,120000,,,,,,,,-1,-1,-1,-1,,,-1,,-1,,-1,-1
