SYEAR,AREA,RID,DID,VID,PSID,PS001,PS001a,PS002,PS003,PS003a,PS003Y,PS004,PS005,PS006,PS006a,PS006Y,PS007E,PS007P,PS008TA,PS008TP,PS009a,PS009b,PS009c,PS009d,PS009e,PS009f,PS009z,PS010a,PS010b,PS010c,PS010d,PS010e,PS010z,PS011a,PS011b,PS011c,PS011d,PS011e,PS011f,PS011g,PS011i,PS011h,PS011j,PS011k,PS011L,PS011m,PS011n,PS011P,PS012a,PS012b,PS012c,PS012d,PS012e,PS012f,PS012g,PS012h,PS012j,PS012k,PS012L,PS012m,PS013,PS014a,PS015a,PS014b,PS015b,PS014c,PS015c,PS014d,PS015d
2016,2,2,154,4881,1968,2,,-1,2,,2003,0,,0,,,139,76,7,6,,1,2,,2,,,2,,1,2,,,6,3,-1,-1,-1,0,-1,-1,0,0,0,0,0,,0,-1,1,-1,"6,7",1,3,-1,-1,0,0,0,0,1,0,0,,,,,,
2016,2,2,146,45847,42636,1,,1,1,,2016,1,NO,0,,,80,75,6,6,,,1,4,1,,,,,,,,,4,,0,-1,-1,0,,0,-1,0,,-1,0,,0,-1,"3,4",,,3,,0,,0,,0,,1,0,,,,,,,
2016,2,2,146,45850,42639,1,,1,1,,2013,0,,0,,,152,140,37,32,,,,,,,,,,,,,,30,25,-1,-1,-1,0,,-1,-1,0,,-1,0,,0,0,,,,1,,-1,,-1,,-1,,1,0,0,,,,,,
2016,2,2,146,45856,42643,2,,1,1,,2013,0,,0,,,53,52,6,6,,,5,,,,1,6,,,,,,7,7,-1,-1,-1,0,,-1,-1,0,0,-1,0,,0,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,0,,,,,,
2016,2,2,146,45859,42646,2,,1,1,,2013,0,,,,,144,134,9,8,,,6,,,,1,5,,,2,,,9,9,-1,-1,-1,0,,0,-1,0,0,-1,0,,0,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,1.00E+12,,,,,,,
2016,2,2,146,45860,42647,2,,1,1,,2002,0,,0,,,424,401,20,19,,,,,,,,,,,,,,12,10,-1,-1,-1,0,,-1,-1,0,-1,-1,-1,,0,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,0,,,,,,
2016,2,2,146,45862,42649,2,,1,1,,2014,0,,0,,,162,147,10,10,,,1,4,5,,,8,,,1,1,,15,1,-1,-1,-1,0,,0,-1,0,-1,-1,0,,-1,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,0,,,,,,
2016,2,2,146,45895,42675,2,,1,1,,2012,0,,0,,,199,181,37,32,,,,,,,,,,,,,,40,40,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,0,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,0,,,,,,
2016,2,2,146,46056,42751,2,,1,2,,2008,1,,-1,PEF,2013,607,552,21,19,,2,13,4,1,,,,2,,1,,,19,19,-1,-1,-1,0,,0,0,0,0,0,0,,0,0,,0,,1,1,0,-1,0,0,0,0,1,0,0,,,,,,
2016,2,2,146,46061,42755,3,,1,2,,2017,0,,0,,,135,114,10,10,1,3,3,4,,,,1,,,,,,7,7,,-1,-1,-1,,-1,0,0,0,0,0,0,0,0,,-1,"9,10",1,1,-1,,-1,,-1,,2,0,0,,,,,,
2016,2,2,146,46074,42761,3,,1,1,,2007,0,,0,,,74,53,9,7,,4,2,,3,,,,,,,,,10,10,-1,-1,-1,0,,0,-1,0,0,-1,0,-1,0,-1,"1,3",-1,"6,7",1,1,-1,-1,-1,-1,-1,-1,1,1.00E+12,,,,,,,
2016,2,2,146,46075,42762,3,,1,1,,2017,0,,,,,10,9,4,4,,,,1,,,,,,,,1,,8,3,-1,-1,-1,0,,0,-1,0,0,-1,0,-1,0,-1,"KACHI,PAKI",,,1,1,-1,,-1,,-1,,1,0,0,,,,,,
2016,2,2,146,46081,42764,0,Class 610,1,1,,2008,0,,-1,PEF,2013,144,128,7,6,,,3,,4,,,5,,,2,,,9,8,-1,-1,-1,0,,0,-1,0,,-1,-1,,0,,,0,,1,1,,-1,,0,,-1,1,-1,-1,900000,900000,,,PEF,PEF
2016,2,2,146,46082,42765,3,,1,1,,2009,0,,-1,PEF,2012,454,408,13,12,,,13,,,,,,10,,3,,,13,12,-1,-1,-1,0,,0,-1,0,0,-1,0,0,0,0,,0,,1,1,-1,-1,0,0,-1,-1,1,-1,-1,800000,130000,,,PEF,PEF
2016,2,2,146,46085,42766,1,,1,1,,,0,,0,,,231,208,4,4,,,,,,,,,,,,,,8,7,-1,-1,-1,0,,0,-1,-1,,-1,-1,,-1,0,,,,1,,-1,,-1,,-1,,1,0,0,,,,,,
2016,2,2,146,46088,42767,3,,3,,,2008,0,,0,,,220,210,19,19,,3,6,3,4,,2,19,,,,,,14,12,-1,-1,-1,0,,0,-1,-1,-1,-1,-1,0,0,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,,,,,,,
2016,2,2,146,46090,42769,3,,2,1,,2003,0,,,,,287,268,14,14,0,,3,4,7,,,,,4,7,3,,9,9,-1,-1,-1,-1,,-1,-1,-1,-1,-1,0,,0,0,,0,,1,1,-1,-1,-1,-1,-1,-1,1,0,0,,,,,,
2016,2,2,146,46093,42770,3,,1,1,,2005,0,,0,,,335,289,20,19,,1,2,15,2,,,,,,15,2,,13,13,0,-1,-1,0,,0,-1,0,-1,-1,-1,0,0,-1,5,-1,7,1,1,0,-1,-1,-1,-1,-1,1,0,0,,,,,,
