VID,SYEAR,AREA,RID,DID,V001,V002,V003,V004,V005,V006,V007,V008
4881,2016,2,1,9,-1,0,0,-1,-1,0,2,1
4882,2016,2,1,9,-1,0,0,0,-1,-1,,2
4885,2016,2,1,9,0,0,0,0,-1,-1,2,0
4886,2016,2,1,9,-1,0,0,0,-1,-1,3,3
4887,2016,2,1,9,-1,-1,-1,-1,-1,-1,1,4
4888,2016,2,1,9,-1,0,0,0,-1,-1,2,4
4890,2016,2,1,9,0,0,-1,0,-1,-1,1,1
4891,2016,2,1,9,0,0,0,0,-1,-1,2,2
4892,2016,2,1,9,-1,,-1,-1,-1,-1,2,3
4893,2016,2,1,9,-1,0,0,0,-1,-1,2,3
4894,2016,2,1,9,0,0,0,0,-1,-1,2,1
4895,2016,2,1,9,-1,0,0,0,-1,-1,2,3
4896,2016,2,1,9,0,0,0,0,0,-1,2,0
4897,2016,2,1,9,0,0,0,0,-1,-1,2,3
4898,2016,2,1,9,-1,0,0,0,-1,-1,,4
4899,2016,2,1,9,,,,,,,,
4900,2016,2,1,9,0,0,0,0,0,-1,2,2
4901,2016,2,1,47,,,,,,,,
4902,2016,2,1,47,,,,,,,,
4903,2016,2,1,47,,,,,,,,
4904,2016,2,1,47,,,,,,,,
4906,2016,2,1,47,,,,,,,,
4907,2016,2,1,47,,,,,,,,
4908,2016,2,1,47,0,0,0,0,0,0,2,0
4909,2016,2,1,47,,,,,,,,
4910,2016,2,1,47,,,,,,,,
4911,2016,2,1,47,,,,,,,,
4912,2016,2,1,47,,,,,,,,
4913,2016,2,1,47,,,,,,,,
4914,2016,2,1,47,,,,,,,,
4915,2016,2,1,47,,,,,,,,
4916,2016,2,1,47,,,,,,,,
4917,2016,2,1,47,,,,,,,,
4918,2016,2,1,47,,,,,,,,
4919,2016,2,1,47,,,,,,,,
4920,2016,2,1,47,,,,,,,,
4921,2016,2,1,47,,,,,,,,
4922,2016,2,1,47,,,,,,,,
4923,2016,2,1,47,,,,,,,,
4924,2016,2,1,47,,,,,,,,
4925,2016,2,1,47,,,,,,,,
4926,2016,2,1,47,,,,,,,,
4927,2016,2,1,47,,,,,,,,
4928,2016,2,1,47,,,,,,,,
4929,2016,2,1,47,,,,,,,,
4930,2016,2,1,9,0,0,0,0,0,-1,1,0
4931,2016,2,1,9,0,0,0,0,0,-1,1,0
4932,2016,2,1,9,0,0,0,0,-1,-1,1,3
4933,2016,2,1,9,-1,-1,-1,-1,-1,-1,2,7
4934,2016,2,1,9,-1,-1,-1,-1,-1,-1,1,1
4935,2016,2,1,9,0,0,0,0,0,-1,2,1
4936,2016,2,1,7,,,,,,,,
4937,2016,2,1,7,,,,,,,,
4938,2016,2,1,7,,,,,,,,
4939,2016,2,1,7,,,,,,,,
4940,2016,2,1,7,,,,,,,,
4941,2016,2,1,7,-1,0,,-1,-1,-1,2,2
4942,2016,2,1,7,0,0,0,0,0,0,2,1
4943,2016,2,1,7,,,,,,,,
4944,2016,2,1,7,-1,0,0,0,-1,-1,6,4
4945,2016,2,1,7,0,0,0,0,-1,-1,2,0
4946,2016,2,1,7,,,,,,,,
4947,2016,2,1,7,,,,,,,,
4948,2016,2,1,7,,,,,,,,
4949,2016,2,1,7,-1,0,0,0,0,-1,3,4
4950,2016,2,1,7,,,,,,,,
4951,2016,2,1,7,,,,,,,,
4952,2016,2,1,7,-1,-1,-1,-1,-1,-1,6,8
4953,2016,2,1,7,,,,,,,,
4954,2016,2,1,7,,,,,,,,
4955,2016,2,1,7,,,,,,,,
4956,2016,2,1,7,0,0,0,0,0,-1,3,
4957,2016,2,1,7,-1,0,0,0,,-1,6,6
4958,2016,2,1,7,0,0,,0,-1,-1,2,
4959,2016,2,1,7,,,,,,,,
4960,2016,2,1,41,,,,,,,,
4961,2016,2,1,41,,,,,,,,
4962,2016,2,1,41,0,0,0,0,0,-1,2,1
4963,2016,2,1,41,,,,,,,,
4964,2016,2,1,41,0,0,0,,0,-1,1,1
4965,2016,2,1,41,,,,,,,,
4966,2016,2,1,7,,,,,,,,
4967,2016,2,1,41,,,,,,,,
4968,2016,2,1,41,,,,,,,,
4969,2016,2,1,41,,,,,,,,
4970,2016,2,1,41,,,,,,,,
4971,2016,2,1,41,,,,,,,,
4972,2016,2,1,41,0,0,0,0,0,-1,3,0
4973,2016,2,1,41,,,,,,,,
4974,2016,2,1,41,,,,,,,,
4975,2016,2,1,41,0,0,0,0,-1,-1,3,2
4976,2016,2,1,41,,,,,,,,
4977,2016,2,1,41,,,,,,,,
