name,pop,location
Karachi,11624219,"https://www.google.com/maps/?q=24.8608,67.0104"
Lahore,6310888,"https://www.google.com/maps/?q=31.558,74.3507"
Faisalabad,2506595,"https://www.google.com/maps/?q=31.4155,73.0897"
Rawalpindi,1743101,"https://www.google.com/maps/?q=33.5973,73.0479"
Multan,1437230,"https://www.google.com/maps/?q=30.1968,71.4782"
Hyderabad,1386330,"https://www.google.com/maps/?q=25.3924,68.3737"
Gujranwala,1384471,"https://www.google.com/maps/?q=32.1557,74.187"
Peshawar,1218773,"https://www.google.com/maps/?q=34.008,71.5785"
Rahim Yar Khan,788915,"https://www.google.com/maps/?q=28.4199,70.3035"
Quetta,733675,"https://www.google.com/maps/?q=30.1841,67.0014"
Muzaffarabad,725000,"https://www.google.com/maps/?q=34.37,73.4708"
Battagram,700000,"https://www.google.com/maps/?q=34.6772,73.0233"
Kotli,640000,"https://www.google.com/maps/?q=33.5184,73.9022"
Islamabad,601600,"https://www.google.com/maps/?q=33.7215,73.0433"
Bahawalpur,552607,"https://www.google.com/maps/?q=29.3978,71.6752"
Sargodha,542603,"https://www.google.com/maps/?q=32.0859,72.6742"
Sialkot,477396,"https://www.google.com/maps/?q=32.4927,74.5313"
Sukkur,417767,"https://www.google.com/maps/?q=27.7032,68.8589"
Larkana,364033,"https://www.google.com/maps/?q=27.559,68.212"
Shekhupura,361303,"https://www.google.com/maps/?q=31.7129,73.9856"
Bhimbar,342900,"https://www.google.com/maps/?q=32.9747,74.0785"
Jhang Sadr,341210,"https://www.google.com/maps/?q=31.2698,72.3169"
Gujrat,301506,"https://www.google.com/maps/?q=32.5742,74.0754"
Mardan,300424,"https://www.google.com/maps/?q=34.1979,72.0497"
Malir Cantonment,300000,"https://www.google.com/maps/?q=24.9434,67.2059"
Kasur,290643,"https://www.google.com/maps/?q=31.1187,74.4502"
Mingora,279914,"https://www.google.com/maps/?q=34.7795,72.3626"
Dera Ghazi Khan,236093,"https://www.google.com/maps/?q=30.0459,70.6403"
Sahiwal,235695,"https://www.google.com/maps/?q=30.666,73.1019"
Nawabshah,229504,"https://www.google.com/maps/?q=26.2394,68.4037"
Okara,223648,"https://www.google.com/maps/?q=30.8103,73.4516"
Mirpur Khas,215657,"https://www.google.com/maps/?q=25.5276,69.0126"
Chiniot,201781,"https://www.google.com/maps/?q=31.7209,72.9784"
Shahkot,200000,"https://www.google.com/maps/?q=31.5709,73.4853"
Kamoke,199531,"https://www.google.com/maps/?q=31.9753,74.223"
Saddiqabad,189876,"https://www.google.com/maps/?q=28.3091,70.1265"
Burewala,183915,"https://www.google.com/maps/?q=30.1667,72.65"
Jacobabad,170588,"https://www.google.com/maps/?q=28.2819,68.4376"
Muzaffargarh,165192,"https://www.google.com/maps/?q=30.0726,71.1938"
Muridke,164246,"https://www.google.com/maps/?q=31.8026,74.2577"
Jhelum,164080,"https://www.google.com/maps/?q=32.9345,73.731"
Shikarpur,156901,"https://www.google.com/maps/?q=27.9556,68.6382"
Hafizabad,153656,"https://www.google.com/maps/?q=32.0709,73.688"
Kohat,151427,"https://www.google.com/maps/?q=33.582,71.4493"
Khanpur,142426,"https://www.google.com/maps/?q=28.6474,70.6569"
Khuzdar,141227,"https://www.google.com/maps/?q=27.8119,66.611"
Dadu,139784,"https://www.google.com/maps/?q=26.7303,67.7769"
Gojra,139726,"https://www.google.com/maps/?q=31.1493,72.6832"
Mandi Bahauddin,129733,"https://www.google.com/maps/?q=32.587,73.4912"
Tando Allahyar,127202,"https://www.google.com/maps/?q=25.4605,68.7175"
Daska Kalan,126924,"https://www.google.com/maps/?q=32.3242,74.3504"
Pakpattan,126706,"https://www.google.com/maps/?q=30.3431,73.3894"
Bahawalnagar,126700,"https://www.google.com/maps/?q=30.5508,73.3908"
Bahawalnagar,126617,"https://www.google.com/maps/?q=29.9984,73.2527"
Tando Adam,125598,"https://www.google.com/maps/?q=25.7682,68.662"
Khairpur Mir's,124602,"https://www.google.com/maps/?q=27.5295,68.7591"
Chishtian,122199,"https://www.google.com/maps/?q=29.7971,72.8577"
Abbottabad,120000,"https://www.google.com/maps/?q=34.1463,73.2117"
Jaranwala,119785,"https://www.google.com/maps/?q=31.3332,73.4187"
Ahmadpur East,116579,"https://www.google.com/maps/?q=29.1427,71.2577"
